data_number	common_formula	chemical_formula	structure_name	tc_unit	tc_recommended	journal
90240	MgB2	B2Mg1	AlB2	K	17.1	Physica C, 420(2005)83
90241	MgB2	B2Mg1	AlB2	K	13.6	Physica C, 420(2005)83
90242	MgB2	B2Mg1	AlB2	K	8.13	Physica C, 420(2005)83
109852	MgB2	B2Mg1	AlB2	K	38.6	Solid State Commun., 121(2002)575
111322	MgB2	B2Mg1	AlB2	K	38.6	Solid State Commun., 121(2002)575
109936	MgB2	B2Mg1	AlB2	K	38.6	Solid State Commun., 121(2002)575
109329	MgB2	B2Mg1	AlB2	K	40.25	cond-mat/0104242(2001)
109330	MgB2	B2Mg1	AlB2	K	40.23	cond-mat/0104242(2001)
109331	MgB2	B2Mg1	AlB2	K	40.21	cond-mat/0104242(2001)
150618	NbB2	B2Nb1	AlB2	K	7.83	Physica C, 468(2008)411
150617	NbB2	B2Nb1	AlB2	K	6.13	Physica C, 468(2008)411
150616	NbB2	B2Nb1	AlB2	K	5.53	Physica C, 468(2008)411
150613	NbB2	B2Nb1	AlB2	K	0.0	Physica C, 468(2008)411
150375	OsB2	B2Os1	RuB2	K	2.17	Phys.Rev.B, 76(2007)214510
150377	OsB2	B2Os1	RuB2	K	2.12	Phys.Rev.B, 76(2007)214510
155649	YB6	B6Y1	CaB6	K	7.5	Phys.Rev.B, 90(2014)045136
155650	YB6	B6Y1	CaB6	K	5.9	Phys.Rev.B, 90(2014)045136
158545	YB6	B6Y1	CaB6	K	7.55	Phys.Rev.B, 96(2017)144501
158546	YB6	B6Y1	CaB6	K	7.4	Phys.Rev.B, 96(2017)144501
158547	YB6	B6Y1	CaB6	K	6.6	Phys.Rev.B, 96(2017)144501
158548	YB6	B6Y1	CaB6	K	5.2	Phys.Rev.B, 96(2017)144501
18	(La,Ba)2(Cu,Ag)O4	Ba0.1La1.9Ag0.1Cu0.9O4-Y	T	K	27.0	Jpn.J.Appl.Phys., 26(1987)L223
3	(Ba,La,Ag)2CuO4	Ba0.1La1.9Ag0.1Cu0.9O4-Y	T	K	26.0	Jpn.J.Appl.Phys., 26(1987)L223
155565	Bax(THF)HfNCl	Ba0.1M1Hf1N1Cl1	SmSI	K	25.7	Supercond.Sci.Technol., 26(2013)085015
155564	Bax(NH3)yHfNCl	Ba0.1M1Hf1N1Cl1	SmSI	K	24.5	Supercond.Sci.Technol., 26(2013)085015
88		Ba0.3La1.7Hg0.15Cu0.85O4-Y		K	28.0	Jpn.J.Appl.Phys., 26(1987)L223
89		Ba0.3La1.7Hg0.15Cu0.85O4-Y		K	28.0	Jpn.J.Appl.Phys., 26(1987)L223
4744	(Ba,K)BiO3	Ba0.55K0.45Bi1O3	BKBO	K	22.5	PHYS.REV.B,48(1993)6617
4745	(Ba,K)BiO3	Ba0.55K0.45Bi1O3	BKBO	K	20.0	PHYS.REV.B,48(1993)6617
1733	(Ba,K)BiO3	Ba0.5K0.5Bi1O3	BKBO	K	24.0	PHY.REV.B,42(1990)2551
8454	(Ba,K)BiO3	Ba0.5K0.5Bi1O3	BKBO	K	23.5	PHY.REV.B,42(1990)2551
151424	(Ba,K)Fe2As2	Ba0.5K0.5Fe2As2	ThCr2Si2	K	32.0	Phys.Rev.Lett., 102(2009)187005
151421	(Ba,K)Fe2As2	Ba0.5K0.5Fe2As2	ThCr2Si2	K	32.0	Phys.Rev.Lett., 102(2009)187005
