dataset,modelo,scheme,seed,MAE,R2,n,n_familias,fold_sizes,fold_familias,fold_MAE,familias_compartidas_tr_te,segundos
A,XGBoost,grouped_shuffle,4,8.230979292472457,0.8549042183231571,21263,3365,"[5206, 4679, 3821, 3758, 3799]","[673, 673, 673, 673, 673]","[10.112727, 8.3486, 7.556822, 7.765686, 6.645773]",0,11.8
A,XGBoost,grouped_noshuffle,0,8.421639638946909,0.8502074057417571,21263,3365,"[4253, 4253, 4253, 4252, 4252]","[671, 674, 674, 673, 673]","[8.698103, 7.433091, 8.69862, 8.543169, 8.735318]",0,9.5
A,XGBoost,grouped_noshuffle,1,8.572041244095002,0.8433063203024311,21263,3365,"[4253, 4253, 4253, 4252, 4252]","[671, 674, 674, 673, 673]","[8.502415, 7.508401, 9.31312, 8.505793, 9.03057]",0,12.7
A,XGBoost,grouped_noshuffle,2,8.360200286058925,0.8505735297407435,21263,3365,"[4253, 4253, 4253, 4252, 4252]","[671, 674, 674, 673, 673]","[8.270558, 7.491745, 9.03449, 8.384495, 8.61978]",0,15.9
A,XGBoost,grouped_noshuffle,3,8.394339124690092,0.8499375896125246,21263,3365,"[4253, 4253, 4253, 4252, 4252]","[671, 674, 674, 673, 673]","[8.638327, 7.478227, 8.69615, 8.504165, 8.654913]",0,17.1
A,XGBoost,grouped_noshuffle,4,8.425310334605774,0.8512765637489672,21263,3365,"[4253, 4253, 4253, 4252, 4252]","[671, 674, 674, 673, 673]","[8.608579, 7.492315, 8.840824, 8.529387, 8.655526]",0,16.8
B,XGBoost,random_shuffle,0,3.855468567686418,0.9296693376247003,12440,3063,"[2488, 2488, 2488, 2488, 2488]","[1344, 1349, 1310, 1312, 1318]","[3.814531, 4.093256, 3.867257, 3.826179, 3.676119]",5207,30.3
B,XGBoost,random_shuffle,1,3.8791135659101528,0.929186608109224,12440,3063,"[2488, 2488, 2488, 2488, 2488]","[1316, 1313, 1316, 1327, 1307]","[3.763574, 3.983168, 3.802269, 3.875348, 3.971208]",5129,30.4
B,XGBoost,random_shuffle,2,3.8595129624865705,0.9306124213711418,12440,3063,"[2488, 2488, 2488, 2488, 2488]","[1329, 1307, 1320, 1327, 1316]","[3.76341, 3.936802, 3.850158, 3.793217, 3.953978]",5171,30.8
B,XGBoost,random_shuffle,3,3.9033087350617923,0.9292282262164571,12440,3063,"[2488, 2488, 2488, 2488, 2488]","[1287, 1367, 1310, 1318, 1333]","[3.845359, 3.692015, 4.065504, 4.056143, 3.857522]",5177,31.2
B,XGBoost,random_shuffle,4,3.8715929844666173,0.9309295906288233,12440,3063,"[2488, 2488, 2488, 2488, 2488]","[1300, 1318, 1318, 1338, 1313]","[3.98762, 3.790345, 3.703072, 3.943895, 3.933033]",5146,30.7
B,XGBoost,grouped_shuffle,0,6.179270472335942,0.848735921220108,12440,3063,"[2594, 2736, 2326, 2331, 2453]","[613, 613, 613, 612, 612]","[6.321184, 7.350482, 4.896043, 5.599706, 6.490396]",0,29.3
B,XGBoost,grouped_shuffle,1,6.255295242174609,0.8496291370549025,12440,3063,"[2328, 2518, 2545, 2473, 2576]","[613, 613, 613, 612, 612]","[5.875328, 5.850497, 6.738754, 5.55072, 7.193129]",0,28.7
B,XGBoost,grouped_shuffle,2,6.205214675797942,0.8522763657998068,12440,3063,"[2403, 2521, 2478, 2497, 2541]","[613, 613, 613, 612, 612]","[5.682765, 6.148352, 6.038834, 6.681971, 6.44946]",0,28.6
B,XGBoost,grouped_shuffle,3,6.30430441878201,0.845698569673449,12440,3063,"[2508, 2353, 2336, 2946, 2297]","[613, 613, 613, 612, 612]","[6.45644, 5.569308, 5.539764, 7.617699, 5.984146]",0,28.2
B,XGBoost,grouped_shuffle,4,6.204532908479406,0.8502061573504412,12440,3063,"[2522, 2638, 2476, 2420, 2384]","[613, 613, 613, 612, 612]","[6.648764, 5.728183, 6.195998, 5.891775, 6.588034]",0,28.1
B,XGBoost,grouped_noshuffle,0,6.176881991351193,0.8532399751907758,12440,3063,"[2488, 2488, 2488, 2488, 2488]","[612, 612, 613, 613, 613]","[6.354762, 6.27494, 6.595799, 6.121869, 5.53704]",0,27.7
B,XGBoost,grouped_noshuffle,1,6.144824535858435,0.8559860884400999,12440,3063,"[2488, 2488, 2488, 2488, 2488]","[612, 612, 613, 613, 613]","[6.349562, 6.302693, 6.42476, 6.139538, 5.507569]",0,27.4
B,XGBoost,grouped_noshuffle,2,6.185695852816067,0.8534769568200522,12440,3063,"[2488, 2488, 2488, 2488, 2488]","[612, 612, 613, 613, 613]","[6.407368, 6.285963, 6.504788, 6.160915, 5.569446]",0,27.2
B,XGBoost,grouped_noshuffle,3,6.234278517213398,0.8525352635274104,12440,3063,"[2488, 2488, 2488, 2488, 2488]","[612, 612, 613, 613, 613]","[6.451753, 6.377574, 6.560182, 6.229158, 5.552726]",0,27.1
B,XGBoost,grouped_noshuffle,4,6.184553790596234,0.8526814411071979,12440,3063,"[2488, 2488, 2488, 2488, 2488]","[612, 612, 613, 613, 613]","[6.389199, 6.333784, 6.518394, 6.145112, 5.536279]",0,27.1
