dataset,modelo,scheme,seed,fold_MAE_std,fold_MAE_min,fold_MAE_max,fold_MAE_rango,pooled_MAE,procedencia
A,XGBoost,grouped_noshuffle,1,0.6164435989277203,7.508401,9.31312,1.8047189999999995,8.572041244095002,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,XGBoost,grouped_noshuffle,2,0.5069297390742036,7.491745,9.03449,1.542745,8.360200286058925,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,XGBoost,grouped_noshuffle,3,0.4625671364563633,7.478227,8.69615,1.217922999999999,8.394339124690092,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
A,XGBoost,grouped_noshuffle,4,0.47760873272058185,7.492315,8.840824,1.348509,8.425310334605774,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,XGBoost,random_shuffle,0,0.13519013333464844,3.676119,4.093256,0.4171370000000003,3.855468567686418,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,XGBoost,random_shuffle,1,0.0878377687913348,3.763574,3.983168,0.21959399999999984,3.8791135659101528,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,XGBoost,random_shuffle,2,0.07565142166013815,3.76341,3.953978,0.1905680000000003,3.8595129624865705,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,XGBoost,random_shuffle,3,0.14125526955494425,3.692015,4.065504,0.37348899999999974,3.903308735061792,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,XGBoost,random_shuffle,4,0.10720567380320876,3.703072,3.98762,0.284548,3.8715929844666177,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,XGBoost,grouped_shuffle,0,0.8318488219546628,4.896043,7.350482,2.4544390000000007,6.179270472335942,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,XGBoost,grouped_shuffle,1,0.6191932509181928,5.55072,7.193129,1.6424089999999998,6.255295242174609,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,XGBoost,grouped_shuffle,2,0.34371499680438744,5.682765,6.681971,0.999206,6.205214675797942,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,XGBoost,grouped_shuffle,3,0.7681545650436766,5.539764,7.617699,2.077935,6.30430441878201,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,XGBoost,grouped_shuffle,4,0.3657958075393431,5.728183,6.648764,0.9205810000000003,6.204532908479406,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,XGBoost,grouped_noshuffle,0,0.3547315418132422,5.53704,6.595799,1.0587590000000002,6.176881991351193,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,XGBoost,grouped_noshuffle,1,0.3320621359689176,5.507569,6.42476,0.9171909999999999,6.144824535858435,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,XGBoost,grouped_noshuffle,2,0.3290561690040165,5.569446,6.504788,0.9353419999999995,6.185695852816067,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,XGBoost,grouped_noshuffle,3,0.35737427986893533,5.552726,6.560182,1.0074560000000004,6.234278517213398,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
B,XGBoost,grouped_noshuffle,4,0.3456629750242855,5.536279,6.518394,0.9821149999999994,6.184553790596234,"agg_tabla2.py + celda de dispersion entre folds | sklearn 1.7.2, xgboost 3.0.5 | fold_MAE = MAE por fold de la CV out-of-fold; fold_std = np.std(ddof=0) de los 5 folds de una corrida; promediado sobre las 5 semillas; modelo = make_models(s) del repo; grupos = familia quimica via pandas.factorize"
