dataset,regime,method,seed,coverage,cov_lo,cov_hi,coverage_hiTc,cov_hiTc_lo,cov_hiTc_hi,width_mean,width_hiTc,n_test,n_hiTc,n_families,mae
B,shift,oracle_cond,4,0.9006,0.8737,0.9264,0.9032,0.8509,0.9451,37.73,56.843,4023,372,919,7.18
B,shift,norm_insample,4,0.8916,0.863,0.9156,0.7392,0.645,0.8162,33.342,40.741,4023,372,919,7.18
B,shift,norm_cv,4,0.8784,0.861,0.895,0.8441,0.7932,0.8875,28.205,48.807,4023,372,919,7.18
B,shift,norm_cal,4,0.8533,0.8299,0.8723,0.8656,0.8059,0.9121,28.099,49.5,4023,372,919,7.18
B,shift,mondrian_fixed,4,0.868,0.8376,0.8981,0.6559,0.5538,0.7359,33.056,33.056,4023,372,919,7.18
B,shift,cqr,4,0.9028,0.8839,0.92,0.6694,0.5854,0.7622,34.294,72.389,4023,372,919,7.18
B,deploy,split,0,0.8132,0.7718,0.8543,0.447,0.3309,0.5808,23.539,23.539,3939,387,919,7.016
B,deploy,oracle_global,0,0.9002,0.8628,0.932,0.6434,0.5357,0.7626,40.207,40.207,3939,387,919,7.016
B,deploy,oracle_cond,0,0.9007,0.8627,0.9304,0.9044,0.8445,0.951,36.016,76.667,3939,387,919,7.016
B,deploy,norm_insample,0,0.8165,0.7829,0.8503,0.5168,0.39,0.6462,21.326,25.95,3939,387,919,7.016
B,deploy,norm_cv,0,0.7964,0.7707,0.8189,0.7364,0.6344,0.82,22.844,50.812,3939,387,919,7.016
B,deploy,norm_cal,0,0.7781,0.7469,0.8074,0.7339,0.6218,0.8383,26.017,55.435,3939,387,919,7.016
B,deploy,mondrian_fixed,0,0.8132,0.7718,0.8543,0.447,0.3309,0.5808,23.539,23.539,3939,387,919,7.016
B,deploy,cqr,0,0.8383,0.8119,0.862,0.5556,0.4168,0.7053,30.55,69.349,3939,387,919,7.016
B,deploy,split,1,0.8516,0.8215,0.8823,0.554,0.4472,0.6636,22.995,22.995,3659,287,919,5.795
B,deploy,oracle_global,1,0.9002,0.8786,0.9243,0.6899,0.6015,0.7723,31.528,31.528,3659,287,919,5.795
B,deploy,oracle_cond,1,0.9008,0.8801,0.9217,0.9059,0.8481,0.9538,30.656,64.371,3659,287,919,5.795
B,deploy,norm_insample,1,0.8456,0.821,0.8721,0.5749,0.4809,0.689,19.986,23.689,3659,287,919,5.795
B,deploy,norm_cv,1,0.8442,0.8242,0.8629,0.8676,0.8197,0.911,21.889,51.03,3659,287,919,5.795
B,deploy,norm_cal,1,0.8467,0.8213,0.8698,0.7805,0.6667,0.8837,24.612,45.702,3659,287,919,5.795
B,deploy,mondrian_fixed,1,0.8516,0.8215,0.8823,0.554,0.4472,0.6636,22.995,22.995,3659,287,919,5.795
B,deploy,cqr,1,0.8568,0.8344,0.8759,0.5854,0.464,0.7259,28.211,71.439,3659,287,919,5.795
B,deploy,split,2,0.8442,0.8132,0.8767,0.5776,0.4424,0.6726,22.841,22.841,3549,303,919,5.898
B,deploy,oracle_global,2,0.9003,0.8768,0.926,0.7129,0.5829,0.8113,32.401,32.401,3549,303,919,5.898
B,deploy,oracle_cond,2,0.9005,0.8761,0.9252,0.901,0.8031,0.9693,31.755,70.211,3549,303,919,5.898
B,deploy,norm_insample,2,0.8385,0.8099,0.8718,0.5974,0.4649,0.7,19.027,23.168,3549,303,919,5.898
B,deploy,norm_cv,2,0.8022,0.7726,0.8321,0.7855,0.6729,0.8663,20.294,43.05,3549,303,919,5.898
B,deploy,norm_cal,2,0.8129,0.7895,0.8362,0.7921,0.6948,0.8724,21.06,43.239,3549,303,919,5.898
B,deploy,mondrian_fixed,2,0.8442,0.8132,0.8767,0.5776,0.4424,0.6726,22.841,22.841,3549,303,919,5.898
B,deploy,cqr,2,0.8369,0.8088,0.8653,0.6568,0.5248,0.7764,28.776,72.224,3549,303,919,5.898
B,deploy,split,3,0.7954,0.7624,0.832,0.4629,0.3294,0.5542,19.946,19.946,3568,404,919,6.338
B,deploy,oracle_global,3,0.9002,0.8779,0.9244,0.6535,0.5184,0.7494,35.031,35.031,3568,404,919,6.338
B,deploy,oracle_cond,3,0.9008,0.8839,0.9201,0.9035,0.8478,0.9537,31.966,66.125,3568,404,919,6.338
B,deploy,norm_insample,3,0.7884,0.7572,0.8206,0.5025,0.3323,0.606,17.608,22.491,3568,404,919,6.338
